allocation_mode,bandwidth_gbps,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,num_layers,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_budget_fraction,total_cache_bytes,total_cache_slots,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,waste_bytes_per_input_token,window_size,workload_weighted_miss_rate,wrec_c_candidates_per_layer,wrec_c_max_slots_per_layer,wrec_c_min_slots_per_layer,wrec_c_overlap_ms,wrec_c_replan_interval,wrec_contention_penalty,wrec_cross_layer_weight,wrec_history_size,wrec_recent_weight,wrec_request_weight
uniform_per_layer,41.37220609315469,0.5810485438608892,526086,379322,379322,133643309678592.0,352321536.0,8,32,2950903.8366293903,0.9135167483035521,lru,0,0,0.0,0,3230267.909274101,228.3358951914965,7.135496724734265,0.5,45097156608.0,128,905408,133643309678592.0,9446759714.32756,295211241.07273626,0.0,0.0,0,0.4189514561391108,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.5724778221531067,518326,387082,387082,136377324797952.0,352321536.0,8,32,3016987.21427679,0.9152505153946708,static_hot,0,0,0.0,0,3296351.2869215007,233.00708891789785,7.281471528684308,0.5,45097156608.0,128,905408,136377324797952.0,9640017303.877289,301250540.7461653,0.0,0.0,0,0.42752217784689334,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.963767715770128,872603,32805,32805,11557907988480.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,279364.07264471054,19.747230695179937,0.617100959224373,0.5,45097156608.0,128,905408,11557907988480.0,816986498.0900544,25530828.0653142,0.0,0.0,0,0.036232284229872055,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.9200791245493745,833047,72361,72361,25494338666496.0,352321536.0,8,32,336854.9080181122,0.546648056273407,wrec_h2,0,0,0.0,0,616218.9806628227,43.558279540738155,1.3611962356480674,0.5,45097156608.0,128,905408,25494338666496.0,1802102118.222662,56315691.19445819,0.0,0.0,0,0.07992087545062558,0,0,0,0.0,0,0.0,1024.0,8,512.0,1024.0
global_wrec_constrained,41.37220609315469,0.9069557591715558,821165,84243,84243,29680623157248.0,352321536.0,8,32,438040.8220911025,0.610590790926249,wrec_c,22378,1,7884251332608.0,19863,717404.894735813,50.710743955313,1.5847107486035312,0.5,45097156608.0,128,905408,37564874489856.0,2655324414.3532906,82978887.94854033,6998162669568.0,494674677.99307275,4,0.09304424082844419,4,8,0,10.0,16,0.0,1024.0,8,512.0,1024.0
uniform_per_layer,41.37220609315469,0.8118616137697038,735066,170342,170342,60015155085312.0,352321536.0,8,32,1315016.635687351,0.9065233471486773,lru,0,0,0.0,0,1450615.2983522413,102.53872187405395,3.204335058564186,0.75,67645734912.0,192,905408,60015155085312.0,4242253133.9020286,132570410.43443839,0.0,0.0,0,0.1881383862302962,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.8074923128578497,731110,174298,174298,61408939081728.0,352321536.0,8,32,1348705.5328488348,0.908644964371364,static_hot,0,0,0.0,0,1484304.195513725,104.92006754179155,3.278752110680986,0.75,67645734912.0,192,905408,61408939081728.0,4340774657.646709,135649208.05145967,0.0,0.0,0,0.19250768714215027,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9824134533823425,889485,15923,15923,5610015817728.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,135598.66266489026,9.584976508439263,0.299530515888727,0.75,67645734912.0,192,905408,5610015817728.0,396551623.50519544,12392238.234537357,0.0,0.0,0,0.017586546617657454,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.9565499752597724,866068,39340,39340,13860329226240.0,352321536.0,8,32,199416.81113004682,0.595246568378241,wrec_h2,0,0,0.0,0,335015.4737949371,23.681025927400654,0.7400320602312704,0.75,67645734912.0,192,905408,13860329226240.0,979736285.1657596,30616758.911429986,0.0,0.0,0,0.04345002474022761,0,0,0,0.0,0,0.0,1024.0,8,512.0,1024.0
global_wrec_constrained,41.37220609315469,0.9549760991729696,864643,40765,40765,14362387415040.0,352321536.0,8,32,211551.96746349332,0.6093953146081197,wrec_c,15794,1,5564566339584.0,12057,347150.6301283836,24.538816012467915,0.7668380003896224,0.75,67645734912.0,192,905408,19926953754624.0,1408563918.4720435,44017622.45225136,4247940759552.0,300271489.3300346,4,0.045023900827030464,4,8,0,10.0,16,0.0,1024.0,8,512.0,1024.0
