allocation_mode,bandwidth_gbps,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,num_layers,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_budget_fraction,total_cache_bytes,total_cache_slots,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,waste_bytes_per_input_token,window_size,workload_weighted_miss_rate,wrec_contention_penalty,wrec_cross_layer_weight,wrec_history_size,wrec_recent_weight,wrec_request_weight
uniform_per_layer,41.37220609315469,0.4499109793595815,407353,498055,498055,175475502612480.0,352321536.0,8,32,3889986.1029553413,0.9171497123811627,lru,0,0,0.0,0,4241386.166775227,299.80816899520937,9.369005281100293,0.375,33822867456.0,96,905408,175475502612480.0,12403725356.081148,387616417.3775359,0.0,0.0,0,0.5500890206404184,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.4456200961334559,403468,501940,501940,176844271779840.0,352321536.0,8,32,3923070.371274947,0.9177909710323943,static_hot,0,0,0.0,0,4274470.435094832,302.14677564818214,9.442086739005692,0.375,33822867456.0,96,905408,176844271779840.0,12500478672.498762,390639958.5155863,0.0,0.0,0,0.5543799038665441,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.5954188608892345,539097,366311,366311,129059254173696.0,352321536.0,8,32,2768067.481205463,0.887352550155469,route_window_prefetch,771484,1,271810427879424.0,395317,3119467.545025348,220.5038202463666,6.890744382698956,0.375,33822867456.0,96,905408,400869682053120.0,28336020502.800594,885500640.7125186,139278692646912.0,9845104449.488373,4,0.40458113911076554,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9544249664239768,864144,41264,41264,14538195861504.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,351400.0638198852,24.839193031730062,0.7762247822415644,0.375,33822867456.0,96,905408,14538195861504.0,1027652213.2963879,32114131.665512122,0.0,0.0,0,0.04557503357602319,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.6787393086873542,614536,290872,290872,102480469819392.0,352321536.0,8,32,2125636.562862396,0.8581369124563382,wrec_h,0,0,0.0,0,2477036.626682281,175.09271412188315,5.471647316308848,0.375,33822867456.0,96,905408,102480469819392.0,7243971854.060367,226374120.43938646,0.0,0.0,0,0.3212606913126458,0.0,0.0,8,512.0,0.0
global_wrec_adaptive,41.37220609315469,0.8843791970028981,800724,104684,104684,36882427674624.0,352321536.0,8,32,540078.3260822296,0.6058232394635285,wrec_h2,0,0,0.0,0,891478.3899021148,63.0153665018813,1.9692302031837907,0.375,33822867456.0,96,905408,36882427674624.0,2607084729.951509,81471397.81098466,0.0,0.0,0,0.11562080299710185,0.0,1024.0,8,512.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7430999.173357486,0.963767715770128,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.5,45097156608.0,128,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.5810485438608892,526086,379322,379322,133643309678592.0,352321536.0,8,32,2950903.8366293903,0.9135167483035521,lru,0,0,0.0,0,3230267.909274101,228.3358951914965,7.135496724734265,0.5,45097156608.0,128,905408,133643309678592.0,9446759714.32756,295211241.07273626,0.0,0.0,0,0.4189514561391108,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.5724778221531067,518326,387082,387082,136377324797952.0,352321536.0,8,32,3016987.21427679,0.9152505153946708,static_hot,0,0,0.0,0,3296351.2869215007,233.00708891789785,7.281471528684308,0.5,45097156608.0,128,905408,136377324797952.0,9640017303.877289,301250540.7461653,0.0,0.0,0,0.42752217784689334,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.7414734572700926,671336,234072,234072,82468606574592.0,352321536.0,8,32,1713969.4805359838,0.859850815133805,route_window_prefetch,575819,1,202873434537984.0,264013,1993333.5531806943,140.90150231007948,4.403171947189984,0.5,45097156608.0,128,905408,285342041112576.0,20169791553.86838,630305986.0583869,93017465683968.0,6575066493.529936,4,0.2585265427299074,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.963767715770128,872603,32805,32805,11557907988480.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,279364.07264471054,19.747230695179937,0.617100959224373,0.5,45097156608.0,128,905408,11557907988480.0,816986498.0900544,25530828.0653142,0.0,0.0,0,0.036232284229872055,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.8133382961051813,736403,169005,169005,59544101191680.0,352321536.0,8,32,1159865.4685020444,0.8058933167657761,wrec_h,0,0,0.0,0,1439229.541146755,101.73390408897681,3.1791845027805254,0.5,45097156608.0,128,905408,59544101191680.0,4208956046.630381,131529876.45719941,0.0,0.0,0,0.18666170389481868,0.0,0.0,8,512.0,0.0
global_wrec_adaptive,41.37220609315469,0.9200791245493745,833047,72361,72361,25494338666496.0,352321536.0,8,32,336854.9080181122,0.546648056273407,wrec_h2,0,0,0.0,0,616218.9806628227,43.558279540738155,1.3611962356480674,0.5,45097156608.0,128,905408,25494338666496.0,1802102118.222662,56315691.19445819,0.0,0.0,0,0.07992087545062558,0.0,1024.0,8,512.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7574764.583337306,0.9824134533823425,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.75,67645734912.0,192,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.8118616137697038,735066,170342,170342,60015155085312.0,352321536.0,8,32,1315016.635687351,0.9065233471486773,lru,0,0,0.0,0,1450615.2983522413,102.53872187405395,3.204335058564186,0.75,67645734912.0,192,905408,60015155085312.0,4242253133.9020286,132570410.43443839,0.0,0.0,0,0.1881383862302962,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.8074923128578497,731110,174298,174298,61408939081728.0,352321536.0,8,32,1348705.5328488348,0.908644964371364,static_hot,0,0,0.0,0,1484304.195513725,104.92006754179155,3.278752110680986,0.75,67645734912.0,192,905408,61408939081728.0,4340774657.646709,135649208.05145967,0.0,0.0,0,0.19250768714215027,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.9393864423552697,850528,54880,54880,19335405895680.0,352321536.0,8,32,331753.88440847397,0.7098578717201167,route_window_prefetch,209949,1,73969554161664.0,15962,467352.5470733642,33.03545253929202,1.0323578918528755,0.75,67645734912.0,192,905408,93304960057344.0,6595388425.626918,206105888.30084118,5623756357632.0,397522892.3186541,4,0.06061355764473033,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9824134533823425,889485,15923,15923,5610015817728.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,135598.66266489026,9.584976508439263,0.299530515888727,0.75,67645734912.0,192,905408,5610015817728.0,396551623.50519544,12392238.234537357,0.0,0.0,0,0.017586546617657454,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.9663974694281473,874984,30424,30424,10719030411264.0,352321536.0,8,32,123489.05402898786,0.47663029187483563,wrec_h,0,0,0.0,0,259087.71669387812,18.31396880567457,0.5723115251773303,0.75,67645734912.0,192,905408,10719030411264.0,757689291.8119743,23677790.369124196,0.0,0.0,0,0.03360253057185269,0.0,0.0,8,512.0,0.0
global_wrec_adaptive,41.37220609315469,0.9565499752597724,866068,39340,39340,13860329226240.0,352321536.0,8,32,199416.81113004682,0.595246568378241,wrec_h2,0,0,0.0,0,335015.4737949371,23.681025927400654,0.7400320602312704,0.75,67645734912.0,192,905408,13860329226240.0,979736285.1657596,30616758.911429986,0.0,0.0,0,0.04345002474022761,0.0,1024.0,8,512.0,1024.0
