prepared 64 requests with strategy=fcfs dispatch_strategy=fcfs server_scheduling_policy=fcfs (arrival_interval=0.0, max_concurrency=128)
logged wrec-prefill-eval-0013 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0003 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0012 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0036 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0037 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0014 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0010 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0016 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0019 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0038 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0039 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0015 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0017 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0042 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0040 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0041 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0018 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0021 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0049 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0044 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0045 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0043 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0046 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0047 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0048 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0052 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0057 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0051 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0056 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0054 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0055 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0053 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0050 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0058 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0061 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0060 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0062 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0063 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0059 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
saved gpu summary to /root/WREC/results/wrec/runtime_qwen_real_table_b_full_n64_alpha1_notiming_compare_20260516T063826Z/finite_slot_slot60_mbt1280_r1_gpu_summary.json
